test_indices,y_test,y_pred,risk_scores,quantiles
0.0,1.0,1.0,0.5443234836702955,9
81.0,0.0,1.0,0.5443234836702955,9
103.0,0.0,1.0,0.5443234836702955,9
104.0,0.0,1.0,0.5443234836702955,9
105.0,1.0,1.0,0.5443234836702955,9
106.0,1.0,1.0,0.5443234836702955,9
107.0,0.0,1.0,0.5443234836702955,9
108.0,0.0,1.0,0.5443234836702955,9
109.0,0.0,1.0,0.5443234836702955,9
110.0,1.0,1.0,0.5443234836702955,9
111.0,1.0,1.0,0.5443234836702955,9
112.0,0.0,1.0,0.5443234836702955,9
113.0,1.0,1.0,0.5443234836702955,9
114.0,1.0,1.0,0.5443234836702955,9
115.0,0.0,1.0,0.5443234836702955,9
116.0,0.0,1.0,0.5443234836702955,9
117.0,0.0,1.0,0.5443234836702955,9
118.0,0.0,1.0,0.5443234836702955,8
119.0,1.0,1.0,0.5443234836702955,8
102.0,0.0,1.0,0.5443234836702955,8
101.0,1.0,1.0,0.5443234836702955,8
100.0,1.0,1.0,0.5443234836702955,8
90.0,1.0,1.0,0.5443234836702955,8
83.0,1.0,1.0,0.5443234836702955,8
84.0,1.0,1.0,0.5443234836702955,8
85.0,1.0,1.0,0.5443234836702955,8
86.0,1.0,1.0,0.5443234836702955,8
87.0,0.0,1.0,0.5443234836702955,8
88.0,0.0,1.0,0.5443234836702955,8
89.0,1.0,1.0,0.5443234836702955,8
91.0,0.0,1.0,0.5443234836702955,8
99.0,1.0,1.0,0.5443234836702955,8
92.0,0.0,1.0,0.5443234836702955,8
93.0,0.0,1.0,0.5443234836702955,7
94.0,0.0,1.0,0.5443234836702955,7
95.0,1.0,1.0,0.5443234836702955,7
96.0,1.0,1.0,0.5443234836702955,7
97.0,1.0,1.0,0.5443234836702955,7
98.0,0.0,1.0,0.5443234836702955,7
120.0,1.0,1.0,0.5443234836702955,7
121.0,1.0,1.0,0.5443234836702955,7
122.0,0.0,1.0,0.5443234836702955,7
151.0,1.0,1.0,0.5443234836702955,7
144.0,0.0,1.0,0.5443234836702955,7
145.0,1.0,1.0,0.5443234836702955,7
146.0,1.0,1.0,0.5443234836702955,7
147.0,0.0,1.0,0.5443234836702955,7
148.0,0.0,1.0,0.5443234836702955,7
149.0,1.0,1.0,0.5443234836702955,7
150.0,0.0,1.0,0.5443234836702955,6
152.0,0.0,1.0,0.5443234836702955,6
142.0,0.0,1.0,0.5443234836702955,6
153.0,0.0,1.0,0.5443234836702955,6
154.0,0.0,1.0,0.5443234836702955,6
155.0,1.0,1.0,0.5443234836702955,6
156.0,0.0,1.0,0.5443234836702955,6
157.0,1.0,1.0,0.5443234836702955,6
158.0,1.0,1.0,0.5443234836702955,6
159.0,1.0,1.0,0.5443234836702955,6
143.0,1.0,1.0,0.5443234836702955,6
141.0,0.0,1.0,0.5443234836702955,6
123.0,1.0,1.0,0.5443234836702955,6
131.0,0.0,1.0,0.5443234836702955,6
124.0,0.0,1.0,0.5443234836702955,6
125.0,1.0,1.0,0.5443234836702955,6
126.0,1.0,1.0,0.5443234836702955,5
127.0,0.0,1.0,0.5443234836702955,5
128.0,0.0,1.0,0.5443234836702955,5
129.0,0.0,1.0,0.5443234836702955,5
130.0,1.0,1.0,0.5443234836702955,5
132.0,1.0,1.0,0.5443234836702955,5
140.0,1.0,1.0,0.5443234836702955,5
133.0,0.0,1.0,0.5443234836702955,5
134.0,1.0,1.0,0.5443234836702955,5
135.0,1.0,1.0,0.5443234836702955,5
136.0,1.0,1.0,0.5443234836702955,5
137.0,0.0,1.0,0.5443234836702955,5
138.0,0.0,1.0,0.5443234836702955,5
139.0,1.0,1.0,0.5443234836702955,5
82.0,1.0,1.0,0.5443234836702955,5
80.0,1.0,1.0,0.5443234836702955,5
1.0,1.0,1.0,0.5443234836702955,4
79.0,1.0,1.0,0.5443234836702955,4
22.0,0.0,1.0,0.5443234836702955,4
23.0,0.0,1.0,0.5443234836702955,4
24.0,0.0,1.0,0.5443234836702955,4
25.0,0.0,1.0,0.5443234836702955,4
26.0,1.0,1.0,0.5443234836702955,4
27.0,1.0,1.0,0.5443234836702955,4
28.0,0.0,1.0,0.5443234836702955,4
29.0,0.0,1.0,0.5443234836702955,4
30.0,0.0,1.0,0.5443234836702955,4
31.0,1.0,1.0,0.5443234836702955,4
32.0,0.0,1.0,0.5443234836702955,4
33.0,0.0,1.0,0.5443234836702955,4
34.0,0.0,1.0,0.5443234836702955,4
35.0,1.0,1.0,0.5443234836702955,4
36.0,1.0,1.0,0.5443234836702955,3
37.0,0.0,1.0,0.5443234836702955,3
38.0,0.0,1.0,0.5443234836702955,3
21.0,1.0,1.0,0.5443234836702955,3
20.0,0.0,1.0,0.5443234836702955,3
19.0,0.0,1.0,0.5443234836702955,3
9.0,1.0,1.0,0.5443234836702955,3
2.0,1.0,1.0,0.5443234836702955,3
3.0,0.0,1.0,0.5443234836702955,3
4.0,0.0,1.0,0.5443234836702955,3
5.0,1.0,1.0,0.5443234836702955,3
6.0,1.0,1.0,0.5443234836702955,3
7.0,1.0,1.0,0.5443234836702955,3
8.0,1.0,1.0,0.5443234836702955,3
10.0,0.0,1.0,0.5443234836702955,3
18.0,1.0,1.0,0.5443234836702955,3
11.0,0.0,1.0,0.5443234836702955,2
12.0,1.0,1.0,0.5443234836702955,2
13.0,1.0,1.0,0.5443234836702955,2
14.0,0.0,1.0,0.5443234836702955,2
15.0,0.0,1.0,0.5443234836702955,2
16.0,0.0,1.0,0.5443234836702955,2
17.0,0.0,1.0,0.5443234836702955,2
39.0,1.0,1.0,0.5443234836702955,2
40.0,1.0,1.0,0.5443234836702955,2
41.0,1.0,1.0,0.5443234836702955,2
70.0,1.0,1.0,0.5443234836702955,2
63.0,0.0,1.0,0.5443234836702955,2
64.0,1.0,1.0,0.5443234836702955,2
